ಅಂಕ	ಅ ಂ ಕ |
ಪಾಂಡೇಶ್ವರ	ಪ ಾ ಂ ಡ ೇ ಶ ್ ವ ರ |
ಪಾಟೀಲ್	ಪ ಾ ಟ ೀ ಲ ್ |
ಪಾಟೇಕರ್	ಪ ಾ ಟ ೇ ಕ ರ ್ |
ಪಾಠ	ಪ ಾ ಠ |
ಪಾತ್ರ	ಪ ಾ ತ ್ ರ |
ಪಾದ	ಪ ಾ ದ |
ಪಾಪ	ಪ ಾ ಪ |
ಪಾಯಸ	ಪ ಾ ಯ ಸ |
ಪಾಯಿಂಟಿಂಗ್	ಪ ಾ ಯ ಿ ಂ ಟ ಿ ಂ ಗ ್ |
ಪಾಯ್	ಪ ಾ ಯ ್ |
ಪಾರ	ಪ ಾ ರ |
ಪಾಲು	ಪ ಾ ಲ ು |
ಪಾಳ್ಯ	ಪ ಾ ಳ ್ ಯ |
ಪಾವಗಡ	ಪ ಾ ವ ಗ ಡ |
ಪಾಶ್ಚಾತ್ಯ	ಪ ಾ ಶ ್ ಚ ಾ ತ ್ ಯ |
ಪಿ	ಪ ಿ |
ಪಿನ್ಜೌರ್	ಪ ಿ ನ ್ ಜ ೌ ರ ್ |
ಪಿನ್ಪರಿ	ಪ ಿ ನ ್ ಪ ರ ಿ |
ಪಿರಿಯಾಪಟ್ಟಣ	ಪ ಿ ರ ಿ ಯ ಾ ಪ ಟ ್ ಟ ಣ |
ಪೀಥೌರಾಘಡ್	ಪ ೀ ಥ ೌ ರ ಾ ಘ ಡ ್ |
ಪೀಪಲಿ	ಪ ೀ ಪ ಲ ಿ |
ಪೀಲಾನಿ	ಪ ೀ ಲ ಾ ನ ಿ |
ಪೀಲಿಭಿತ್	ಪ ೀ ಲ ಿ ಭ ಿ ತ ್ |
ಪುಟ	ಪ ು ಟ |
ಪುಟದಲ್ಲಿ	ಪ ು ಟ ದ ಲ ್ ಲ ಿ |
ಪುಟ್ಟ	ಪ ು ಟ ್ ಟ |
ಪುಟ್ಟಣ್ಣ	ಪ ು ಟ ್ ಟ ಣ ್ ಣ |
ಪುಟ್ಟಪ್ಪ	ಪ ು ಟ ್ ಟ ಪ ್ ಪ |
ಪುತ್ತೂರು	ಪ ು ತ ್ ತ ೂ ರ ು |
ಪುತ್ರ	ಪ ು ತ ್ ರ |
ಪುನಃ	ಪ ು ನ ಃ |
ಪುನೀತ್	ಪ ು ನ ೀ ತ ್ |
ಪುರ	ಪ ು ರ |
ಪುರಂದರದಾಸ	ಪ ು ರ ಂ ದ ರ ದ ಾ ಸ |
ಪುರಾಣ	ಪ ು ರ ಾ ಣ |
ಪುರಿ	ಪ ು ರ ಿ |
ಪುರುಲಿಯಾ	ಪ ು ರ ು ಲ ಿ ಯ ಾ |
ಪುರುಷ	ಪ ು ರ ು ಷ |
ಪುರುಷೋತ್ತಂ	ಪ ು ರ ು ಷ ೋ ತ ್ ತ ಂ |
ಪುರ್	ಪ ು ರ ್ |
ಪುಲಕೇಶಿ	ಪ ು ಲ ಕ ೇ ಶ ಿ |
ಪುಶ್ಯ	ಪ ು ಶ ್ ಯ |
ಪುಸ್ತಕ	ಪ ು ಸ ್ ತ ಕ |
ಪುಸ್ತಕದ	ಪ ು ಸ ್ ತ ಕ ದ |
ಪೂಜಾಗಾಂಧಿ	ಪ ೂ ಜ ಾ ಗ ಾ ಂ ಧ ಿ |
ಪೂಜೆ	ಪ ೂ ಜ ೆ |
ಪೂನಾ	ಪ ೂ ನ ಾ |
ಪೂರಕ	ಪ ೂ ರ ಕ |
ಪೂರಿ	ಪ ೂ ರ ಿ |
ಪೂರ್ಣ	ಪ ೂ ರ ್ ಣ |
ಪೂರ್ಣವಾಗಿ	ಪ ೂ ರ ್ ಣ ವ ಾ ಗ ಿ |
ಪೂರ್ಣಿಯಾ	ಪ ೂ ರ ್ ಣ ಿ ಯ ಾ |
ಪೂರ್ತಿ	ಪ ೂ ರ ್ ತ ಿ |
ಪೂರ್ವ	ಪ ೂ ರ ್ ವ |
ಪೆಟ್ಟಿಗೆ	ಪ ೆ ಟ ್ ಟ ಿ ಗ ೆ |
ಪೇಟೆ	ಪ ೇ ಟ ೆ |
ಪೈಕಿ	ಪ ೈ ಕ ಿ |
ಪೈರು	ಪ ೈ ರ ು |
ಪೊಂಗ್	ಪ ೊ ಂ ಗ ್ |
ಪೊರ್ಟ್	ಪ ೊ ರ ್ ಟ ್ |
ಪೌನು	ಪ ೌ ನ ು |
ಪ್ರಕಟ	ಪ ್ ರ ಕ ಟ |
ಪ್ರಕಟಿಸು	ಪ ್ ರ ಕ ಟ ಿ ಸ ು |
ಪ್ರಕರಣ	ಪ ್ ರ ಕ ರ ಣ |
ಪ್ರಕಾರ	ಪ ್ ರ ಕ ಾ ರ |
ಪ್ರಕಾಶಮ್	ಪ ್ ರ ಕ ಾ ಶ ಮ ್ |
ಪ್ರಕಾಶ್	ಪ ್ ರ ಕ ಾ ಶ ್ |
ಪ್ರಕೃತಿ	ಪ ್ ರ ಕ ೃ ತ ಿ |
ಪ್ರಕ್ರಿಯೆ	ಪ ್ ರ ಕ ್ ರ ಿ ಯ ೆ |
ಪ್ರಗತಿ	ಪ ್ ರ ಗ ತ ಿ |
ಪ್ರಗತಿಪರ	ಪ ್ ರ ಗ ತ ಿ ಪ ರ |
ಪ್ರಚಾರ	ಪ ್ ರ ಚ ಾ ರ |
ಪ್ರಜ್ಞೆ	ಪ ್ ರ ಜ ್ ಞ ೆ |
ಪ್ರತಾಪ್	ಪ ್ ರ ತ ಾ ಪ ್ |
ಪ್ರತಿ	ಪ ್ ರ ತ ಿ |
ಪ್ರತಿಕ್ರಿಯೆ	ಪ ್ ರ ತ ಿ ಕ ್ ರ ಿ ಯ ೆ |
ಪ್ರತಿದಿನ	ಪ ್ ರ ತ ಿ ದ ಿ ನ |
ಪ್ರತಿದಿನವೂ	ಪ ್ ರ ತ ಿ ದ ಿ ನ ವ ೂ |
ಪ್ರತಿನಿಧಿ	ಪ ್ ರ ತ ಿ ನ ಿ ಧ ಿ |
ಪ್ರತಿಪಕ್ಷ	ಪ ್ ರ ತ ಿ ಪ ಕ ್ ಷ |
ಪ್ರತಿಪಾದಿಸು	ಪ ್ ರ ತ ಿ ಪ ಾ ದ ಿ ಸ ು |
ಪ್ರತಿಭಟನೆ	ಪ ್ ರ ತ ಿ ಭ ಟ ನ ೆ |
ಪ್ರತಿಭಾ	ಪ ್ ರ ತ ಿ ಭ ಾ |
ಪ್ರತಿಭೆ	ಪ ್ ರ ತ ಿ ಭ ೆ |
ಪ್ರತ್ಯೇಕ	ಪ ್ ರ ತ ್ ಯ ೇ ಕ |
ಪ್ರಥಮ	ಪ ್ ರ ಥ ಮ |
ಪ್ರದರ್ಶನ	ಪ ್ ರ ದ ರ ್ ಶ ನ |
ಪ್ರದರ್ಶಿಸು	ಪ ್ ರ ದ ರ ್ ಶ ಿ ಸ ು |
ಪ್ರದೇಶ	ಪ ್ ರ ದ ೇ ಶ |
ಪ್ರಧಾನಿ	ಪ ್ ರ ಧ ಾ ನ ಿ |
ಪ್ರಪಂಚ	ಪ ್ ರ ಪ ಂ ಚ |
ಪ್ರಬಂಧ	ಪ ್ ರ ಬ ಂ ಧ |
ಪ್ರಬಲ	ಪ ್ ರ ಬ ಲ |
ಪ್ರಭಾಕರನ್	ಪ ್ ರ ಭ ಾ ಕ ರ ನ ್ |
ಪ್ರಭಾವ	ಪ ್ ರ ಭ ಾ ವ |
ಪ್ರಭು	ಪ ್ ರ ಭ ು |
ಪ್ರಭುದೇವ	ಪ ್ ರ ಭ ು ದ ೇ ವ |
ಪ್ರಮಾಣ	ಪ ್ ರ ಮ ಾ ಣ |
ಪ್ರಮುಖ	ಪ ್ ರ ಮ ು ಖ |
ಪ್ರಯತ್ನ	ಪ ್ ರ ಯ ತ ್ ನ |
ಪ್ರಯತ್ನದಿಂದ	ಪ ್ ರ ಯ ತ ್ ನ ದ ಿ ಂ ದ |
ಪ್ರಯತ್ನಿಸು	ಪ ್ ರ ಯ ತ ್ ನ ಿ ಸ ು |
ಪ್ರಯಾಗ	ಪ ್ ರ ಯ ಾ ಗ |
ಪ್ರಯಾಣ	ಪ ್ ರ ಯ ಾ ಣ |
ಪ್ರಯಾಣಕ್ಕೆ	ಪ ್ ರ ಯ ಾ ಣ ಕ ್ ಕ ೆ |
ಪ್ರಯೋಗ	ಪ ್ ರ ಯ ೋ ಗ |
ಪ್ರಯೋಜನ	ಪ ್ ರ ಯ ೋ ಜ ನ |
ಪ್ರವಾಸ	ಪ ್ ರ ವ ಾ ಸ |
ಪ್ರವಾಸಿ	ಪ ್ ರ ವ ಾ ಸ ಿ |
ಪ್ರವಾಹ	ಪ ್ ರ ವ ಾ ಹ |
ಪ್ರವೃತ್ತಿ	ಪ ್ ರ ವ ೃ ತ ್ ತ ಿ |
ಪ್ರವೇಶ	ಪ ್ ರ ವ ೇ ಶ |
ಪ್ರವೇಶಿಸು	ಪ ್ ರ ವ ೇ ಶ ಿ ಸ ು |
ಪ್ರಶಸ್ತಿ	ಪ ್ ರ ಶ ಸ ್ ತ ಿ |
ಪ್ರಶ್ನಿಸು	ಪ ್ ರ ಶ ್ ನ ಿ ಸ ು |
ಪ್ರಶ್ನೆ	ಪ ್ ರ ಶ ್ ನ ೆ |
ಪ್ರಸಂಗ	ಪ ್ ರ ಸ ಂ ಗ |
ಪ್ರಸನ್ನ	ಪ ್ ರ ಸ ನ ್ ನ |
ಪ್ರಸಾದ್	ಪ ್ ರ ಸ ಾ ದ ್ |
ಪ್ರಸಿದ್ಧ	ಪ ್ ರ ಸ ಿ ದ ್ ಧ |
ಪ್ರಸಿದ್ಧಿಯಾಗಿದೆ	ಪ ್ ರ ಸ ಿ ದ ್ ಧ ಿ ಯ ಾ ಗ ಿ ದ ೆ |
ಪ್ರಸ್ತಾಪ	ಪ ್ ರ ಸ ್ ತ ಾ ಪ |
ಪ್ರಸ್ತುತ	ಪ ್ ರ ಸ ್ ತ ು ತ |
ಪ್ರಾಚೀನ	ಪ ್ ರ ಾ ಚ ೀ ನ |
ಪ್ರಾಣ	ಪ ್ ರ ಾ ಣ |
ಪ್ರಾಣಿ	ಪ ್ ರ ಾ ಣ ಿ |
ಪ್ರಾಥಮಿಕ	ಪ ್ ರ ಾ ಥ ಮ ಿ ಕ |
ಪ್ರಾದೇಶಿಕ	ಪ ್ ರ ಾ ದ ೇ ಶ ಿ ಕ |
ಪ್ರಾಮಾಣಿಕ	ಪ ್ ರ ಾ ಮ ಾ ಣ ಿ ಕ |
ಪ್ರಾರಂಭ	ಪ ್ ರ ಾ ರ ಂ ಭ |
ಪ್ರಿಯಾಂಕ	ಪ ್ ರ ಿ ಯ ಾ ಂ ಕ |
ಪ್ರೀತಿ	ಪ ್ ರ ೀ ತ ಿ |
ಪ್ರೇಂ	ಪ ್ ರ ೇ ಂ |
ಪ್ರೇಕ್ಷಕ	ಪ ್ ರ ೇ ಕ ್ ಷ ಕ |
ಪ್ರೇಮ	ಪ ್ ರ ೇ ಮ |
ಪ್ರೇಮ್	ಪ ್ ರ ೇ ಮ ್ |
ಪ್ರೇಮ್ಜಿ	ಪ ್ ರ ೇ ಮ ್ ಜ ಿ |
ಪ್ರೇರಣೆ	ಪ ್ ರ ೇ ರ ಣ ೆ |
ಪ್ಲೂಟೋ	ಪ ್ ಲ ೂ ಟ ೋ |
ಫಕ್ರುದ್ದೀನ್	ಫ ಕ ್ ರ ು ದ ್ ದ ೀ ನ ್ |
ಫಜೀತಿ	ಫ ಜ ೀ ತ ಿ |
ಫತುಹಾ	ಫ ತ ು ಹ ಾ |
ಫತೇಹಗಢ್	ಫ ತ ೇ ಹ ಗ ಢ ್ |
ಫರಿದಾಬಾದ್	ಫ ರ ಿ ದ ಾ ಬ ಾ ದ ್ |
ಫರ್ನಾಂಡಿಸ್	ಫ ರ ್ ನ ಾ ಂ ಡ ಿ ಸ ್ |
ಫಲ	ಫ ಲ |
ಫಲಿತಾಂಶ	ಫ ಲ ಿ ತ ಾ ಂ ಶ |
ಫಾರುಕ್	ಫ ಾ ರ ು ಕ ್ |
ಫಾಲ್ಗುಣ	ಫ ಾ ಲ ್ ಗ ು ಣ |
ಫಿರೋಝಾಬಾದ್	ಫ ಿ ರ ೋ ಝ ಾ ಬ ಾ ದ ್ |
ಫಿರೋಝ್	ಫ ಿ ರ ೋ ಝ ್ |
ಫೂಜಿಯಾಮಾ	ಫ ೂ ಜ ಿ ಯ ಾ ಮ ಾ |
ಫೂರುಖ್	ಫ ೂ ರ ು ಖ ್ |
ಫೆಬ್ರವರಿ	ಫ ೆ ಬ ್ ರ ವ ರ ಿ |
ಫೈಝಾಬಾದ್	ಫ ೈ ಝ ಾ ಬ ಾ ದ ್ |
ಫೈಸಲಾಬಾದ್	ಫ ೈ ಸ ಲ ಾ ಬ ಾ ದ ್ |
ಫೋಟೋ	ಫ ೋ ಟ ೋ |
ಫೋನು	ಫ ೋ ನ ು |
ಫ್ಯಾನ್	ಫ ್ ಯ ಾ ನ ್ |
ಫ್ರೊ	ಫ ್ ರ ೊ |
ಫ್ಲೇಮಿಂಗ್	ಫ ್ ಲ ೇ ಮ ಿ ಂ ಗ ್ |
ಫ್ಲೇವರ್	ಫ ್ ಲ ೇ ವ ರ ್ |
ಬಂಗಾರ	ಬ ಂ ಗ ಾ ರ |
ಬಂಗಾರಪೇಟೆ	ಬ ಂ ಗ ಾ ರ ಪ ೇ ಟ ೆ |
ಬಂಗಾರು	ಬ ಂ ಗ ಾ ರ ು |
ಬಂಟ್ವಾಳ	ಬ ಂ ಟ ್ ವ ಾ ಳ |
ಬಂಡವಾಳ	ಬ ಂ ಡ ವ ಾ ಳ |
ಬಂಡಾಯ	ಬ ಂ ಡ ಾ ಯ |
ಬಂತು	ಬ ಂ ತ ು |
ಬಂದ	ಬ ಂ ದ |
ಬಂದರೆ	ಬ ಂ ದ ರ ೆ |
ಬಂದಿದೆ	ಬ ಂ ದ ಿ ದ ೆ |
ಬಂದಿದ್ದರು	ಬ ಂ ದ ಿ ದ ್ ದ ರ ು |
ಬಂದಿರಬೇಕಿತ್ತು	ಬ ಂ ದ ಿ ರ ಬ ೇ ಕ ಿ ತ ್ ತ ು |
ಬಂದು	ಬ ಂ ದ ು |
ಬಗೆ	ಬ ಗ ೆ |
ಬಗ್ಗು	ಬ ಗ ್ ಗ ು |
ಬಗ್ಗೆ	ಬ ಗ ್ ಗ ೆ |
ಬಚ್ಚನ್	ಬ ಚ ್ ಚ ನ ್ |
ಬಟ್ಟಲನ್ನು	ಬ ಟ ್ ಟ ಲ ನ ್ ನ ು |
ಬಟ್ಟೆ	ಬ ಟ ್ ಟ ೆ |
ಬಟ್ಟೆಗಳನ್ನು	ಬ ಟ ್ ಟ ೆ ಗ ಳ ನ ್ ನ ು |
ಬಟ್ಟೆಯನ್ನು	ಬ ಟ ್ ಟ ೆ ಯ ನ ್ ನ ು |
ಬಡ	ಬ ಡ |
ಬಡಗಿ	ಬ ಡ ಗ ಿ |
ಬಡತನ	ಬ ಡ ತ ನ |
ಬಡವ	ಬ ಡ ವ |
ಬಡಾಯಿ	ಬ ಡ ಾ ಯ ಿ |
ಬಡ್ಡಿ	ಬ ಡ ್ ಡ ಿ |
ಬಣ	ಬ ಣ |
ಬಣ್ಣ	ಬ ಣ ್ ಣ |
ಬದಲಾಗು	ಬ ದ ಲ ಾ ಗ ು |
ಬದಲಾವಣೆ	ಬ ದ ಲ ಾ ವ ಣ ೆ |
ಬದಲಿ	ಬ ದ ಲ ಿ |
ಬದಲು	ಬ ದ ಲ ು |
ಬದಿ	ಬ ದ ಿ |
ಬದುಕು	ಬ ದ ು ಕ ು |
ಬದುಕುತ್ತಾನೆ	ಬ ದ ು ಕ ು ತ ್ ತ ಾ ನ ೆ |
ಬನ್ನಿ	ಬ ನ ್ ನ ಿ |
ಬನ್ನೂರು	ಬ ನ ್ ನ ೂ ರ ು |
ಬಯಸು	ಬ ಯ ಸ ು |
ಬರಬಾರದು	ಬ ರ ಬ ಾ ರ ದ ು |
ಬರಬೇಡ	ಬ ರ ಬ ೇ ಡ |
ಬರಲಿಲ್ಲ	ಬ ರ ಲ ಿ ಲ ್ ಲ |
ಬರಲು	ಬ ರ ಲ ು |
ಬರವಣಿಗೆ	ಬ ರ ವ ಣ ಿ ಗ ೆ |
ಬರಹ	ಬ ರ ಹ |
ಬರಿ	ಬ ರ ಿ |
ಬರು	ಬ ರ ು |
ಬರುತ್ತದೆ	ಬ ರ ು ತ ್ ತ ದ ೆ |
ಬರುತ್ತಾರೆ	ಬ ರ ು ತ ್ ತ ಾ ರ ೆ |
ಬರುವ	ಬ ರ ು ವ |
ಬರುವಾ	ಬ ರ ು ವ ಾ |
ಬರುವುದನ್ನು	ಬ ರ ು ವ ು ದ ನ ್ ನ ು |
ಬರೆ	ಬ ರ ೆ |
ಬರೆಯಬೇಡ	ಬ ರ ೆ ಯ ಬ ೇ ಡ |
ಬರೆಯಿರಿ	ಬ ರ ೆ ಯ ಿ ರ ಿ |
ಬರೋಡಾ	ಬ ರ ೋ ಡ ಾ |
ಬರೌನಿ	ಬ ರ ೌ ನ ಿ |
ಬರ್ಧಮಾನ್	ಬ ರ ್ ಧ ಮ ಾ ನ ್ |
ಬರ್ನಾಲಾ	ಬ ರ ್ ನ ಾ ಲ ಾ |
ಬಲ	ಬ ಲ |
ಬಲರಾಮ್	ಬ ಲ ರ ಾ ಮ ್ |
ಬಲವೇಂದರ್	ಬ ಲ ವ ೇ ಂ ದ ರ ್ |
ಬಲಶಾಲಿ	ಬ ಲ ಶ ಾ ಲ ಿ |
ಬಲಶಾಲಿಯೋ	ಬ ಲ ಶ ಾ ಲ ಿ ಯ ೋ |
ಬಲಿ	ಬ ಲ ಿ |
ಬಲಿರಾಮ್	ಬ ಲ ಿ ರ ಾ ಮ ್ |
ಬಲು	ಬ ಲ ು |
ಬಳಕೆ	ಬ ಳ ಕ ೆ |
ಬಳಗ	ಬ ಳ ಗ |
ಬಳಸಲಾಗುತ್ತದೆ	ಬ ಳ ಸ ಲ ಾ ಗ ು ತ ್ ತ ದ ೆ |
ಬಳಸಿದರೆ	ಬ ಳ ಸ ಿ ದ ರ ೆ |
ಬಳಸು	ಬ ಳ ಸ ು |
ಬಳಸುತ್ತಾರೆ	ಬ ಳ ಸ ು ತ ್ ತ ಾ ರ ೆ |
ಬಳಸುತ್ತಿದ್ದರು	ಬ ಳ ಸ ು ತ ್ ತ ಿ ದ ್ ದ ರ ು |
ಬಳಸುತ್ತೇವೆ	ಬ ಳ ಸ ು ತ ್ ತ ೇ ವ ೆ |
ಬಳಿಕ	ಬ ಳ ಿ ಕ |
ಬಳಿಗೆ	ಬ ಳ ಿ ಗ ೆ |
ಬಳ್ಳಾಪುರ	ಬ ಳ ್ ಳ ಾ ಪ ು ರ |
ಬಳ್ಳಾರಿ	ಬ ಳ ್ ಳ ಾ ರ ಿ |
ಬಸಪ್ಪ	ಬ ಸ ಪ ್ ಪ |
ಬಸರಾಳು	ಬ ಸ ರ ಾ ಳ ು |
ಬಸವಕಲ್ಯಾಣ	ಬ ಸ ವ ಕ ಲ ್ ಯ ಾ ಣ |
ಬಸವಣ್ಣ	ಬ ಸ ವ ಣ ್ ಣ |
ಬಸವನ	ಬ ಸ ವ ನ |
ಬಸವಪ್ಪಶಾಸ್ತಿ	ಬ ಸ ವ ಪ ್ ಪ ಶ ಾ ಸ ್ ತ ಿ |
ಬಸವರಾಜ	ಬ ಸ ವ ರ ಾ ಜ |
ಬಸುರಿ	ಬ ಸ ು ರ ಿ |
ಬಸ್ತೀ	ಬ ಸ ್ ತ ೀ |
ಬಸ್ಸು	ಬ ಸ ್ ಸ ು |
ಬಸ್ಸುಗಳು	ಬ ಸ ್ ಸ ು ಗ ಳ ು |
ಬಹದೂರ್	ಬ ಹ ದ ೂ ರ ್ |
ಬಹಳ	ಬ ಹ ಳ |
ಬಹಾದೂರ್	ಬ ಹ ಾ ದ ೂ ರ ್ |
ಬಹಾದ್ದೂರ್	ಬ ಹ ಾ ದ ್ ದ ೂ ರ ್ |
ಬಹಿರಂಗ	ಬ ಹ ಿ ರ ಂ ಗ |
ಬಹುತುಲೇ	ಬ ಹ ು ತ ು ಲ ೇ |
ಬಹುತೇಕ	ಬ ಹ ು ತ ೇ ಕ |
ಬಹುಶಃ	ಬ ಹ ು ಶ ಃ |
ಬಾ	ಬ ಾ |
ಬಾಂಕುಡಾ	ಬ ಾ ಂ ಕ ು ಡ ಾ |
ಬಾಗಲಕೋಟೆ	ಬ ಾ ಗ ಲ ಕ ೋ ಟ ೆ |
ಬಾಗಿಲು	ಬ ಾ ಗ ಿ ಲ ು |
ಬಾಗೇಪಲ್ಲಿ	ಬ ಾ ಗ ೇ ಪ ಲ ್ ಲ ಿ |
ಬಾಗೇವಾಡಿ	ಬ ಾ ಗ ೇ ವ ಾ ಡ ಿ |
ಬಾಟ್ಲಿ	ಬ ಾ ಟ ್ ಲ ಿ |
ಬಾಡಿಗೆ	ಬ ಾ ಡ ಿ ಗ ೆ |
ಬಾಡು	ಬ ಾ ಡ ು |
ಬಾಡುತ್ತದೆ	ಬ ಾ ಡ ು ತ ್ ತ ದ ೆ |
ಬಾದಾಮಿ	ಬ ಾ ದ ಾ ಮ ಿ |
ಬಾದ್ರಪದ	ಬ ಾ ದ ್ ರ ಪ ದ |
ಬಾನ್ಸವಾಡ	ಬ ಾ ನ ್ ಸ ವ ಾ ಡ |
ಬಾಬಿ	ಬ ಾ ಬ ಿ |
ಬಾಬು	ಬ ಾ ಬ ು |
ಬಾಯಿ	ಬ ಾ ಯ ಿ |
ಬಾರಿ	ಬ ಾ ರ ಿ |
ಬಾರಿಸು	ಬ ಾ ರ ಿ ಸ ು |
ಬಾರೇ	ಬ ಾ ರ ೇ |
ಬಾರೋ	ಬ ಾ ರ ೋ |
ಬಾಲಕ	ಬ ಾ ಲ ಕ |
ಬಾಲಯೋಗಿ	ಬ ಾ ಲ ಯ ೋ ಗ ಿ |
ಬಾಲಸುಬ್ರಮಣ್ಯಂ	ಬ ಾ ಲ ಸ ು ಬ ್ ರ ಮ ಣ ್ ಯ ಂ |
ಬಾಲಾಸೋರ್	ಬ ಾ ಲ ಾ ಸ ೋ ರ ್ |
ಬಾಲ್ಕಿ	ಬ ಾ ಲ ್ ಕ ಿ |
ಬಾಳು	ಬ ಾ ಳ ು |
ಬಾವಿ	ಬ ಾ ವ ಿ |
ಬಾಸ	ಬ ಾ ಸ |
ಬಿ	ಬ ಿ |
ಬಿಂದ್ರ	ಬ ಿ ಂ ದ ್ ರ |
ಬಿಕ್ರಂ	ಬ ಿ ಕ ್ ರ ಂ |
ಬಿಜನೌರ್	ಬ ಿ ಜ ನ ೌ ರ ್ |
ಬಿಜಾಪುರ	ಬ ಿ ಜ ಾ ಪ ು ರ |
ಬಿಜಾಪುರ್	ಬ ಿ ಜ ಾ ಪ ು ರ ್ |
ಬಿಟ್ಟರೆ	ಬ ಿ ಟ ್ ಟ ರ ೆ |
ಬಿಡದಿ	ಬ ಿ ಡ ದ ಿ |
ಬಿಡು	ಬ ಿ ಡ ು |
ಬಿಡುಗಡೆ	ಬ ಿ ಡ ು ಗ ಡ ೆ |
ಬಿದ್ದ	ಬ ಿ ದ ್ ದ |
ಬಿದ್ದಿತ್ತು	ಬ ಿ ದ ್ ದ ಿ ತ ್ ತ ು |
ಬಿದ್ದು	ಬ ಿ ದ ್ ದ ು |
ಬಿನ್ನಿ	ಬ ಿ ನ ್ ನ ಿ |
ಬಿಮಾನಿ	ಬ ಿ ಮ ಾ ನ ಿ |
ಬಿರ್	ಬ ಿ ರ ್ |
ಬಿಲಾಸ್	ಬ ಿ ಲ ಾ ಸ ್ |
ಬಿಳಿ	ಬ ಿ ಳ ಿ |
ಬಿಳಿಗಿರಿ	ಬ ಿ ಳ ಿ ಗ ಿ ರ ಿ |
ಬಿವಿ	ಬ ಿ ವ ಿ |
ಬಿಶೇಶ್ವರ್	ಬ ಿ ಶ ೇ ಶ ್ ವ ರ ್ |
ಬಿಷನ್	ಬ ಿ ಷ ನ ್ |
ಬಿಸಿ	ಬ ಿ ಸ ಿ |
ಬಿಸಿಲು	ಬ ಿ ಸ ಿ ಲ ು |
ಬಿಹಾರಿ	ಬ ಿ ಹ ಾ ರ ಿ |
ಬಿಹಾರ್	ಬ ಿ ಹ ಾ ರ ್ |
ಬೀಕಾನೇರ್	ಬ ೀ ಕ ಾ ನ ೇ ರ ್ |
ಬೀಚಿ	ಬ ೀ ಚ ಿ |
ಬೀಜ	ಬ ೀ ಜ |
ಬೀದರ್	ಬ ೀ ದ ರ ್ |
ಬೀದಿ	ಬ ೀ ದ ಿ |
ಬೀದಿಯಲ್ಲಿ	ಬ ೀ ದ ಿ ಯ ಲ ್ ಲ ಿ |
ಬೀರು	ಬ ೀ ರ ು |
ಬೀಳು	ಬ ೀ ಳ ು |
ಬೀಳುತ್ತೀಯೆ	ಬ ೀ ಳ ು ತ ್ ತ ೀ ಯ ೆ |
ಬೀಹರ್	ಬ ೀ ಹ ರ ್ |
ಬುಕ್ಕ	ಬ ು ಕ ್ ಕ |
ಬುಟ್ಟಿ	ಬ ು ಟ ್ ಟ ಿ |
ಬುಟ್ಟಿಯ	ಬ ು ಟ ್ ಟ ಿ ಯ |
ಬುಟ್ಟೋ	ಬ ು ಟ ್ ಟ ೋ |
ಬುಡ	ಬ ು ಡ |
ಬುಡಕ್ಕೆ	ಬ ು ಡ ಕ ್ ಕ ೆ |
ಬುದ್ಧಿ	ಬ ು ದ ್ ಧ ಿ |
ಬುಧ	ಬ ು ಧ |
ಬುಧವಾರ	ಬ ು ಧ ವ ಾ ರ |
ಬುಲಂದ್	ಬ ು ಲ ಂ ದ ್ |
ಬುಷ್	ಬ ು ಷ ್ |
ಬೂದಿ	ಬ ೂ ದ ಿ |
ಬೂದಿಯನ್ನು	ಬ ೂ ದ ಿ ಯ ನ ್ ನ ು |
ಬೂನ್	ಬ ೂ ನ ್ |
ಬೃಹತ್	ಬ ೃ ಹ ತ ್ |
ಬೆಂಕಿ	ಬ ೆ ಂ ಕ ಿ |
ಬೆಂಗಳೂರು	ಬ ೆ ಂ ಗ ಳ ೂ ರ ು |
ಬೆಂಬಲ	ಬ ೆ ಂ ಬ ಲ |
ಬೆಂಬಲಿಗ	ಬ ೆ ಂ ಬ ಲ ಿ ಗ |
ಬೆಟ್ಟ	ಬ ೆ ಟ ್ ಟ |
ಬೆನಜೀರ್	ಬ ೆ ನ ಜ ೀ ರ ್ |
ಬೆನೆಗಲ್	ಬ ೆ ನ ೆ ಗ ಲ ್ |
ಬೆನ್	ಬ ೆ ನ ್ |
ಬೆನ್ನ	ಬ ೆ ನ ್ ನ |
ಬೆನ್ನು	ಬ ೆ ನ ್ ನ ು |
ಬೆರಮೊ	ಬ ೆ ರ ಮ ೊ |
ಬೆರಳು	ಬ ೆ ರ ಳ ು |
ಬೆಲೆ	ಬ ೆ ಲ ೆ |
ಬೆಲೆಯಲ್ಲಿ	ಬ ೆ ಲ ೆ ಯ ಲ ್ ಲ ಿ |
ಬೆಲ್	ಬ ೆ ಲ ್ |
ಬೆಲ್ಲಾರಿ	ಬ ೆ ಲ ್ ಲ ಾ ರ ಿ |
ಬೆಳಕು	ಬ ೆ ಳ ಕ ು |
ಬೆಳಗಾವಿ	ಬ ೆ ಳ ಗ ಾ ವ ಿ |
ಬೆಳಗ್ಗೆ	ಬ ೆ ಳ ಗ ್ ಗ ೆ |
ಬೆಳವಣಿಗೆ	ಬ ೆ ಳ ವ ಣ ಿ ಗ ೆ |
ಬೆಳಿಗ್ಗೆ	ಬ ೆ ಳ ಿ ಗ ್ ಗ ೆ |
